"ECO_CODE","ECOREGION","PROV_CODE","PROVINCE","RLM_CODE","REALM","ALT_CODE","ECO_CODE_X","Lat_Zone","artisanal_fishing","cumulative_impacts.gri","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","inorganic","night_lights","ocean_acidification","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","sst","uv"
20130,"Papua",30,"Western Coral Triangle",6,"Central Indo-Pacific",126,130,"Tropical",0.000989599084454045,3.54897076915446,0.119197451846151,0.117727598142862,0.10652498729285,0.00724810201256377,0.000179705616079552,1.05088139579457,2.39002430129392e-07,0.00210780049903051,0.0514737908721232,0.00247475885656377,0.000140955925104634,0.0165065709131312,1.49788373793545,0.575634077816787
20131,"Banda Sea",30,"Western Coral Triangle",6,"Central Indo-Pacific",120,131,"Tropical",0.00288606256520261,3.36933248613677,0.17014108744111,0.112494987926901,0.108758741309125,0.00776388899192889,0.000220351858412872,1.08121717691542,1.95150256831416e-05,0.00330325964089864,0.0523637332584761,0.00692355534990007,0.000428945296870118,0.0197403653363661,1.24486551470788,0.558205295097663
20132,"Lesser Sunda",30,"Western Coral Triangle",6,"Central Indo-Pacific",123,132,"Tropical",0.00633054800543317,3.51247109688912,0.125548559940742,0.0904775915976133,0.0640027083612096,0.0134631129794409,0.000616829323115977,1.09903808215567,0,0.0019924448283806,0.0124820720663061,0.0116805160962175,0.000846547857468507,0.0214259328110031,1.47284443123503,0.591721713919073
20133,"Northeast Sulawesi",30,"Western Coral Triangle",6,"Central Indo-Pacific",124,133,"Tropical",0.00373941719472683,3.09416415084552,0.318605205228579,0.248431563584155,0.197857587357423,0.0251129543412553,0.000571042591701398,0.897975508800641,0,0.00335602947282235,0.0373756990675623,0.0349959489118734,0.00223834977268502,0.0368151807299066,1.08777194093504,0.199317726093292
20134,"Bismarck Sea",31,"Eastern Coral Triangle",6,"Central Indo-Pacific",128,134,"Tropical",0.00236430610089834,3.38761372394788,0.0121968944775894,0.00826086011868516,0.0536363278634422,0.00342602859648558,8.93647621392779e-05,1.08588094654199,0,0,0.078520038424209,0.000326911592764517,6.8768183379142e-05,0.0104061754008096,1.60222306143997,0.530214033935108
20135,"Solomon Archipelago",31,"Eastern Coral Triangle",6,"Central Indo-Pacific",129,135,"Tropical",0.00179604066452364,3.51743840041656,0.00635464286892597,0.00641738131441158,0.0445355260381421,0.000911244894122837,2.22290051173715e-05,1.10621340499571,0,0.000386033675188101,0.0637912404912673,0.00011236685984688,1.60241082277499e-05,0.00653031598181222,1.69519851760089,0.58515342542499
20136,"Solomon Sea",31,"Eastern Coral Triangle",6,"Central Indo-Pacific",130,136,"Tropical",0.00299548360955131,3.43740327937269,0.0117782516706048,0.00613691035386831,0.0671445152368005,0.00298521825409473,2.97505554634126e-05,1.09548533756893,0,0,0.102061536834987,0.00049047002881936,5.22452345327873e-05,0.0106385113624686,1.61248527768167,0.525119763452036
20137,"Southeast Papua New Guinea",31,"Eastern Coral Triangle",6,"Central Indo-Pacific",131,137,"Tropical",0.00151328175676562,3.34288477679312,0.00392367383616371,0.00323848059891249,0.0625608765262773,0.00240921580976691,9.70721957521148e-05,1.11829650140886,0,0.000473042845416714,0.0918732037676809,0.00084332962795399,4.95245178920921e-05,0.00549498006853726,1.49775001399878,0.55436157397649
20138,"Gulf of Papua",32,"Sahul Shelf",6,"Central Indo-Pacific",135,138,"Tropical",0.000986074674252252,1.83576142617825,0.0265735453498282,0.0113632661139482,0.0330512229330002,0.0181254998571754,3.68375682189431e-05,0.717949868707764,0,0.00099455533016677,0.032583519910239,0.00548321606540157,0.000380770215780967,0.0285092022571983,0.592947052179094,0.366776793426839
20139,"Arafura Sea",32,"Sahul Shelf",6,"Central Indo-Pacific",133,139,"Tropical",0.000213059777100337,2.16884970339617,0.322931652036633,0.212511897801863,0.124980293042126,0.00595405923421961,3.12163228492675e-05,0.520068105096795,0,0.000852133475065567,0.0342062804266228,0.00746514299872464,0.00034922211618863,0.010334503524495,0.505108693353865,0.42384344173651
